Nama Tempat Wisata,Alamat,Jenis Wisata,Deskripsi,Koordinat,Rating,Kota,Deskripsi Singkat
Farmhouse Lembang,"Jl. Raya Lembang No.108, Bandung",Wisata Edukasi,Tempat wisata dengan konsep Eropa dan peternakan mini.,"-6.8326, 107.6059",4.5,Bandung,Tempat wisata dengan konsep Eropa dan peternakan mini.
Curug Maribaya,"Maribaya, Lembang",Alam,Air terjun alami dengan pemandangan hutan yang asri.,"-6.8087, 107.6702",4.4,Bandung,Air terjun alami dengan pemandangan hutan yang asri.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",4,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.4,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",3.7,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",4.8,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",3.8,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Dago Dreampark,"Jl. Dago Giri Km. 2.2, Bandung",Rekreasi,Taman rekreasi dengan wahana dan pemandangan alam.,"-6.8574, 107.6405",4.9,Bandung,Taman rekreasi dengan wahana dan pemandangan alam.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",4.1,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
Tangkuban Perahu,"Lembang, Bandung",Alam,Gunung berapi aktif dengan kawah yang bisa dikunjungi.,"-6.7596, 107.6098",4.7,Bandung,Gunung berapi aktif dengan kawah yang bisa dikunjungi.
Kawah Putih,"Ciwidey, Bandung",Alam,Danau kawah vulkanik dengan air berwarna putih kehijauan.,"-7.1664, 107.4026",3.9,Bandung,Danau kawah vulkanik dengan air berwarna putih kehijauan.
Tebing Keraton,"Dago, Bandung",Alam,Tebing dengan pemandangan hutan dan sunrise yang indah.,"-6.8364, 107.6636",3.8,Bandung,Tebing dengan pemandangan hutan dan sunrise yang indah.
